Wendell Carter Jr.,CHI,484
Aron Baynes,PHX,481
Delon Wright,DAL,474
Tony Snell,DET,474
Dwight Howard,LAL,468
Wesley Matthews,MIL,467
Jalen Brunson,DAL,466
DeAndre Jordan,BKN,465
Thomas Bryant,WAS,460
P.J. Tucker,HOU,456
Derrick Jones Jr.,MIA,454
Landry Shamet,LAC,454
Kelly Olynyk,MIA,452
Elfrid Payton,NYK,449
Zion Williamson,NOP,448
Luke Kennard,DET,442
E'Twaun Moore,NOP,437
Gorgui Dieng,MEM,428
Jordan McRae,DET,426
Nerlens Noel,OKC,424
Avery Bradley,LAL,423
Trevor Ariza,POR,423
De'Anthony Melton,MEM,420
Jaxson Hayes,NOP,420
Kevin Knox II,NYK,419
Enes Kanter,BOS,416
Derrick Favors,NOP,415
JaVale McGee,LAL,414
Brad Wanamaker,BOS,413
T.J. McConnell,IND,409
Alex Len,SAC,408
Gary Trent Jr.,POR,406
Cory Joseph,SAC,405
Trey Lyles,SAS,404
Royce O'Neale,UTA,400
Cameron Johnson,PHX,398
Bismack Biyombo,CHA,393
Willie Cauley-Stein,DAL,390
Jonathan Isaac,ORL,384
Ersan Ilyasova,MIL,382
Mason Plumlee,DEN,380
Patrick Beverley,LAC,380
Taj Gibson,NYK,379
Dwight Powell,DAL,376
Rondae Hollis-Jefferson,TOR,375
Kris Dunn,CHI,373
Omari Spellman,MIN,370
James Ennis III,ORL,366
Michael Porter Jr.,DEN,358
Mike Scott,PHI,358
Frank Ntilikina,NYK,357
Maurice Harkless,NYK,357
JaMychal Green,LAC,356
Nicolo Melli,NOP,355
Frank Kaminsky,PHX,352
Moritz Wagner,WAS,352
Emmanuel Mudiay,UTA,351
Chris Boucher,TOR,348
Draymond Green,GSW,345
Rajon Rondo,LAL,342
Jeff Green,HOU,337
Georges Niang,UTA,336
Kyle Korver,MIL,336
Ky Bowman,GSW,335
Kyle Anderson,MEM,335
Mo Bamba,ORL,332
Robin Lopez,MIL,330
Justin Jackson,DAL,329
Damyean Dotson,NYK,321
Marvin Williams,MIL,319
Alex Caruso,LAL,316
Pat Connaughton,MIL,309
Damian Jones,ATL,306
Jakob Poeltl,SAS,306
Shake Milton,PHI,303
Michael Carter-Williams,ORL,302
Marco Belinelli,SAS,301
Meyers Leonard,MIA,300
Lonnie Walker IV,SAS,299
Vince Carter,ATL,298
Reggie Jackson,LAC,294
Solomon Hill,MIA,289
Juancho Hernangomez,MIN,288
Abdel Nader,OKC,287
Frank Jackson,NOP,285
Ian Mahinmi,WAS,283
Thon Maker,DET,281
Blake Griffin,DET,279
Marc Gasol,TOR,275
James Johnson,MIN,270
Naz Reid,MIN,269
Matisse Thybulle,PHI,267
Isaac Bonga,WAS,266
Harry Giles III,SAC,265
Ryan Arcidiacono,CHI,261
Keita Bates-Diop,DEN,258
Dewayne Dedmon,ATL,256
DeAndre' Bembry,ATL,249
Torrey Craig,DEN,248
Timothe Luwawu-Cabarrot,BKN,247
Denzel Valentine,CHI,246
Sekou Doumbouya,DET,243
Treveon Graham,ATL,243
Bruno Fernando,ATL,240
Cody Martin,CHA,238
Darius Bazley,OKC,238
Wes Iwundu,ORL,237
Patrick Patterson,LAC,234
Reggie Bullock,NYK,234
Hamidou Diallo,OKC,233
Tony Bradley,UTA,233
Boban Marjanovic,DAL,232
Jevon Carter,PHX,231
Rodney Hood,POR,230
Jordan McLaughlin,MIN,229
Mario Hezonja,POR,225
Dwayne Bacon,CHA,224
Sterling Brown,MIL,223
Grayson Allen,MEM,221
John Henson,DET,221
Daniel Gafford,CHI,220
Chandler Hutchison,CHI,218
Grant Williams,BOS,218
Elie Okobo,PHX,215
Luke Kornet,CHI,215
Jahlil Okafor,NOP,214
Raul Neto,PHI,212
Cheick Diallo,PHX,211
Nickeil Alexander-Walker,NOP,211
Jake Layman,MIN,210
Shaquille Harrison,CHI,209
Terrance Ferguson,OKC,209
Brandon Goodwin,ATL,206
Wilson Chandler,BKN,205
Jerome Robinson,WAS,201
Kelan Martin,MIN,197
J.J. Barea,DAL,194
Semi Ojeleye,BOS,191
Skal Labissiere,ATL,190
Willy Hernangomez,CHA,190
Mike Muscala,OKC,189
Josh Jackson,MEM,188
Dennis Smith Jr.,NYK,187
Marvin Bagley III,SAC,185
Yogi Ferrell,SAC,185
Brandon Knight,DET,183
Quinn Cook,LAL,183
Wayne Ellington,NYK,183
Alfonzo McKinnie,CLE,182
Luguentz Dort,OKC,180
Victor Oladipo,IND,179
Tyler Johnson,PHX,178
Matthew Dellavedova,CLE,177
Troy Daniels,DEN,174
Allen Crabbe,MIN,172
Nassir Little,POR,172
Marko Guduric,MEM,170
Patrick McCaw,TOR,170
Otto Porter Jr.,CHI,167
Anthony Tolliver,MEM,165
Rodions Kurucs,BKN,162
Dante Exum,CLE,159
Rodney McGruder,LAC,159
Allonzo Trier,NYK,155
Khem Birch,ORL,153
Goga Bitadze,IND,152
Matt Thomas,TOR,150
Dzanan Musa,BKN,148
Trey Burke,PHI,147
Anzejs Pasecniks,WAS,144
Chris Clemons,HOU,141
Kenrich Williams,NOP,132
Jacob Evans,MIN,128
Javonte Green,BOS,127
Noah Vonleh,DEN,127
Justise Winslow,MEM,124
Chris Silva,MIA,120
Theo Pinson,BKN,120
Edmond Sumner,IND,114
Gary Payton II,WAS,113
Gary Clark,ORL,112
Caleb Martin,CHA,111
JaKarr Sampson,IND,109
Courtney Lee,DAL,107
Dragan Bender,GSW,107
Isaiah Hartenstein,HOU,107
Carsen Edwards,BOS,106
David Nwaba,BKN,104
Stephen Curry,GSW,104
D.J. Wilson,MIL,100
Garrison Mathews,WAS,98
